"Complete Payment","Paiement complet",""
"Total Amount","Montant total",""
"Remaining","Restant",""
"Change","Monnaie",""
"Paid in Full","Payé intégralement",""
"Paid Amount","Montant payé",""
"Paid: {0}","Payé : {0}",""
"Customer Credit Available","Crédit client disponible",""
"Customer Outstanding Balance","Solde impayé du client",""
"Credit can be applied to invoice","Le crédit peut être appliqué à la facture",""
"Amount owed by customer","Montant dû par le client",""
"No outstanding balance","Aucun solde impayé",""
"Save","Enregistrer",""
"Cancel","Annuler",""
"Submit","Soumettre",""
"Delete","Supprimer",""
"Edit","Modifier",""
"Search","Rechercher",""
"Close","Fermer",""
"Confirm","Confirmer",""
"Yes","Oui",""
"No","Non",""
"Loading...","Chargement...",""
"Error","Erreur",""
"Success","Succès",""
"Warning","Avertissement",""
"Information","Information",""
"Add Item","Ajouter un article",""
"Select Customer","Sélectionner un client",""
"Create Customer","Créer un client",""
"Discount","Remise",""
"Tax","Taxe",""
"Total","Total",""
"Checkout","Paiement",""
"Clear Cart","Vider le panier",""
"Hold Invoice","Mettre en attente",""
"Print Receipt","Imprimer le reçu",""
"No stock available","Stock non disponible",""
"Item added to cart","Article ajouté au panier",""
"Item removed from cart","Article retiré du panier",""
"Open Shift","Ouvrir l'équipe",""
"Close Shift","Fermer l'équipe",""
"Shift Opening","Ouverture de l'équipe",""
"Shift Closing","Fermeture de l'équipe",""
"Opening Amount","Montant d'ouverture",""
"Closing Amount","Montant de fermeture",""
"Cash in Hand","Argent en caisse",""
"Expected Amount","Montant attendu",""
"Difference","Différence",""
"Draft Invoices","Brouillons de factures",""
"Invoice History","Historique des factures",""
"Offline Invoices","Factures hors ligne",""
"Return Invoice","Facture de retour",""
"Invoice Number","Numéro de facture",""
"Date","Date",""
"Customer","Client",""
"Amount","Montant",""
"Status","Statut",""
"Paid","Payé",""
"Unpaid","Impayé",""
"Partially Paid","Partiellement payé",""
"Credit Note Issued","Note de crédit émise",""
"Cancelled","Annulé",""
"Draft","Brouillon",""
"Settings","Paramètres",""
"General","Général",""
"Appearance","Apparence",""
"Language","Langue",""
"Select Language","Sélectionner la langue",""
"Theme","Thème",""
"Notifications","Notifications",""
"Receipt Settings","Paramètres du reçu",""
"Hardware","Matériel",""
"POS Profile","Profil de PDV",""
"Network connection error","Erreur de connexion réseau",""
"Session expired, please login again","Session expirée, veuillez vous reconnecter",""
"Insufficient stock for {0}","Stock insuffisant pour {0}",""
"Invalid quantity","Quantité invalide",""
"Please select a customer","Veuillez sélectionner un client",""
"Payment processing failed","Échec du traitement du paiement",""
"An unexpected error occurred","Une erreur inattendue s'est produite",""
"This field is required","Ce champ est obligatoire",""
"Minimum length is {0} characters","Longueur minimale de {0} caractères",""
"Maximum length is {0} characters","Longueur maximale de {0} caractères",""
"Please enter a valid email address","Veuillez saisir une adresse e-mail valide",""
"Please enter a valid phone number","Veuillez saisir un numéro de téléphone valide",""
"Please enter a valid number","Veuillez saisir un nombre valide",""
"Value must be positive","La valeur doit être positive",""
"Customer Credit","Crédit client",""
"Available Credit","Crédit disponible",""
"Payment Methods","Méthodes de paiement",""
"Cash","Espèces",""
"Card","Carte",""
"Wallet","Portefeuille électronique",""
"Bank Transfer","Virement bancaire",""
"Item","Article",""
"Items","Articles",""
"Quantity","Quantité",""
"Price","Prix",""
"Subtotal","Sous-total",""
"Grand Total","Total général",""
"Apply","Appliquer",""
"Apply Coupon","Appliquer un coupon",""
"Coupon Code","Code de coupon",""
"Remove","Supprimer",""
"Add","Ajouter",""
"Update","Mettre à jour",""
"Refresh","Actualiser",""
"Reload","Recharger",""
"Print","Imprimer",""
"Download","Télécharger",""
"Upload","Téléverser",""
"Import","Importer",""
"Export","Exporter",""
"Filter","Filtrer",""
"Sort","Trier",""
"Ascending","Croissant",""
"Descending","Décroissant",""
"All","Tous",""
"None","Aucun",""
"Select All","Tout sélectionner",""
"Deselect All","Tout désélectionner",""
"Name","Nom",""
"Email","E-mail",""
"Phone","Téléphone",""
"Address","Adresse",""
"City","Ville",""
"State","État/Province",""
"Country","Pays",""
"Postal Code","Code postal",""
"Notes","Notes",""
"Description","Description",""
"Category","Catégorie",""
"Type","Type",""
"Unit","Unité",""
"Stock","Stock",""
"Available","Disponible",""
"Out of Stock","En rupture de stock",""
"Low Stock","Stock faible",""
"In Stock","En stock",""
"Barcode","Code-barres",""
"SKU","SKU",""
"Image","Image",""
"Gallery","Galerie",""
"Product","Produit",""
"Products","Produits",""
"Service","Service",""
"Services","Services",""
"Order","Commande",""
"Orders","Commandes",""
"Invoice","Facture",""
"Invoices","Factures",""
"Payment","Paiement",""
"Payments","Paiements",""
